Name,Year,Score,Genre,Genre Count,Language,Budget,Revenue,Profit,Budget_2024,Revenue_2024,Profit_2024,History,Crime,Fantasy,War,Science Fiction,Action,Drama,Animation,Western,Romance,Documentary,Adventure,Mystery,Thriller,TV Movie,Family,Music,Horror,Comedy
Avengers: Endgame,2019,83.0,"Adventure,Science Fiction,Action",3,English,400000000.0,2794731755.0,2394731755.0,"446,840,884.47","3,122,001,023.13","2,675,160,138.66",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Harry Potter and the Order of the Phoenix,2007,77.0,"Adventure,Fantasy,Mystery",3,English,150000000.0,939619849.0,789619849.0,"206,611,540.35","1,294,242,028.99","1,087,630,488.64",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
I Believe,2017,70.0,"Family,Drama",2,English,127600000.0,683545513.4,555945513.4,"148,669,720.95","796,414,739.31","647,745,018.36",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Cars 2,2011,61.0,"Animation,Family,Adventure,Comedy",4,English,200000000.0,560155383.0,360155383.0,"253,931,065.76","711,204,266.97","457,273,201.21",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Tangled,2011,76.0,"Animation,Family",2,English,260000000.0,583777242.0,323777242.0,"330,110,385.48","741,195,886.12","411,085,500.64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Fifty Shades of Grey,2015,59.0,"Drama,Romance,Thriller",3,English,40000000.0,570794950.0,530794950.0,"48,198,230.51","687,782,664.30","639,584,433.80",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 2,2011,81.0,"Fantasy,Adventure",2,English,125000000.0,1341511219.0,1216511219.0,"158,706,916.10","1,703,256,867.82","1,544,549,951.72",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Help,2011,82.0,Drama,1,English,25000000.0,213120004.0,188120004.0,"31,741,383.22","270,588,948.75","238,847,565.53",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Monsters, Inc.",2001,78.0,"Animation,Comedy,Family",3,English,115000000.0,560483719.0,445483719.0,"185,451,298.70","903,847,248.60","718,395,949.90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Pirates of the Caribbean: At World's End,2007,72.0,"Adventure,Fantasy,Action",3,English,300000000.0,961000000.0,661000000.0,"413,223,080.71","1,323,691,268.53","910,468,187.82",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Shrek 2,2004,72.0,"Animation,Family,Comedy,Fantasy,Adventure,Romance",6,English,70000000.0,935253978.0,865253978.0,"105,831,921.65","1,413,996,081.77","1,308,164,160.12",0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
Fifty Shades Freed,2018,67.0,"Drama,Romance",2,English,55000000.0,371985018.0,316985018.0,"62,553,911.28","423,074,869.34","360,520,958.06",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Spider-Man: Into the Spider-Verse,2018,84.0,"Action,Adventure,Animation,Science Fiction",4,English,90000000.0,375540831.0,285540831.0,"102,360,945.73","427,119,051.36","324,758,105.63",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 1,2010,78.0,"Adventure,Fantasy",2,English,250000000.0,954305868.0,704305868.0,"327,433,090.58","1,249,885,278.88","922,452,188.30",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Shack,2017,75.0,"Drama,Fantasy",2,English,20000000.0,96860808.0,76860808.0,"23,302,464.10","112,854,775.05","89,552,310.95",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,78.0,"Adventure,Fantasy,Action",3,English,140000000.0,655011224.0,515011224.0,"217,300,543.48","1,016,673,535.43","799,372,991.95",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Remaining,2014,59.0,"Thriller,Horror",2,English,7270000.0,1169603.0,-6100397.0,"8,770,426.34","1,410,992.70","-7,359,433.64",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Pirates of the Caribbean: On Stranger Tides,2011,65.0,"Adventure,Action,Fantasy",3,English,379000000.0,1045713802.0,666713802.0,"481,199,369.61","1,327,696,101.09","846,496,731.48",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Coco,2017,82.0,"Family,Animation,Fantasy,Music,Comedy,Adventure",6,English,175000000.0,797660271.0,622660271.0,"203,896,560.87","929,372,491.42","725,475,930.55",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1
Toy Story,1995,80.0,"Animation,Adventure,Family,Comedy",4,English,30000000.0,365270951.0,335270951.0,"56,219,488.19","684,511,530.52","628,292,042.33",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Joseph,1995,82.0,"Drama,History",2,English,143260000.0,865531384.0,722271384.0,"268,466,795.93","1,621,991,047.33","1,353,524,251.40",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Titanic,1997,79.0,"Drama,Romance",2,English,200000000.0,2222985568.0,2022985568.0,"355,881,619.94","3,955,598,525.19","3,599,716,905.25",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 1,2014,68.0,"Science Fiction,Adventure,Thriller",3,English,125000000.0,766575131.0,641575131.0,"150,798,252.06","924,785,518.63","773,987,266.57",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
The Autopsy of Jane Doe,2016,67.0,"Horror,Mystery",2,English,24570496.6,5972942.0,-18597554.6,"29,237,526.31","7,107,469.24","-22,130,057.06",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Son of God,2014,69.0,Drama,1,English,22000000.0,70949793.0,48949793.0,"26,540,492.36","85,592,838.15","59,052,345.79",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron,2015,73.0,"Action,Adventure,Science Fiction",3,English,365000000.0,1395316979.0,1030316979.0,"439,808,853.37","1,681,295,234.59","1,241,486,381.22",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Me Before You,2016,79.0,"Drama,Romance",2,English,20000000.0,208064908.0,188064908.0,"23,798,889.20","247,585,684.59","223,786,795.39",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest,2006,73.0,"Adventure,Fantasy,Action",3,English,200000000.0,1065659812.0,865659812.0,"283,328,373.02","1,509,658,303.61","1,226,329,930.60",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ice Age,2002,73.0,"Animation,Comedy,Family,Adventure",4,English,65000000.0,386116343.0,321116343.0,"103,188,854.92","612,967,743.07","509,778,888.16",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
The Little Mermaid,1990,73.0,"Animation,Family,Fantasy",3,English,40000000.0,211343479.0,171343479.0,"87,404,743.69","461,810,565.30","374,405,821.61",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
