Profit,Action,Romance,Science Fiction,Thriller,Family,Crime,Documentary,Drama,Mystery,TV Movie,Music,Adventure,War,Animation,Western,Comedy,Horror,Fantasy,History
597313635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597313635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131539887.0,131539887.0,0.0,0.0,131539887.0,0.0,131539887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271709727.0,271709727.0,0.0,0.0,271709727.0,0.0,271709727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7287898.0,0.0,0.0,0.0,0.0,0.0,7287898.0,0.0,7287898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2686706026.0,2686706026.0,0.0,2686706026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2686706026.0,0.0,0.0,0.0,0.0,0.0,2686706026.0,0.0
45958800.0,45958800.0,0.0,0.0,45958800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-21155093.0,-21155093.0,0.0,-21155093.0,0.0,-21155093.0,0.0,0.0,0.0,0.0,0.0,0.0,-21155093.0,0.0,0.0,0.0,-21155093.0,0.0,0.0,0.0
278563907.0,278563907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278563907.0,0.0,278563907.0,0.0
1748359754.0,1748359754.0,0.0,1748359754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748359754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163591522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163591522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136567581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136567581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129023926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129023926.0,0.0,0.0,0.0,0.0,129023926.0,0.0,0.0,0.0,0.0,0.0,129023926.0
565013115.0,0.0,0.0,0.0,0.0,565013115.0,0.0,0.0,0.0,0.0,0.0,0.0,565013115.0,0.0,0.0,0.0,0.0,0.0,565013115.0,0.0
441812794.0,0.0,0.0,0.0,0.0,441812794.0,0.0,0.0,0.0,0.0,0.0,0.0,441812794.0,0.0,441812794.0,0.0,441812794.0,0.0,441812794.0,0.0
181809600.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181809600.8,0.0,0.0,0.0,0.0,0.0,0.0,181809600.8,0.0,0.0,0.0
774954530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774954530.0,0.0,0.0,0.0,0.0,0.0,774954530.0,0.0
851475550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851475550.0,0.0,0.0,0.0,0.0,0.0,851475550.0,0.0
208541369.0,0.0,0.0,0.0,0.0,208541369.0,0.0,0.0,0.0,0.0,0.0,0.0,208541369.0,0.0,208541369.0,0.0,208541369.0,0.0,0.0,0.0
483082655.0,0.0,0.0,483082655.0,0.0,0.0,0.0,0.0,483082655.0,0.0,0.0,0.0,483082655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66037057.0,0.0,0.0,0.0,0.0,66037057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66037057.0,0.0,0.0,0.0,66037057.0,0.0
736742787.0,0.0,0.0,0.0,0.0,736742787.0,0.0,0.0,0.0,0.0,0.0,0.0,736742787.0,0.0,0.0,0.0,0.0,0.0,736742787.0,0.0
679411069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679411069.0,0.0,0.0,0.0,0.0,0.0,679411069.0,0.0
1290100211.0,1290100211.0,0.0,1290100211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290100211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128314513.0,128314513.0,0.0,0.0,0.0,0.0,0.0,0.0,128314513.0,0.0,0.0,0.0,128314513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289816136.0,0.0,0.0,0.0,0.0,0.0,289816136.0,0.0,289816136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289816136.0,0.0,0.0,0.0
19043870.0,0.0,0.0,0.0,19043870.0,0.0,0.0,0.0,19043870.0,0.0,0.0,0.0,0.0,19043870.0,0.0,0.0,0.0,0.0,0.0,0.0
659592708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659592708.0,0.0,0.0,0.0,0.0,0.0,659592708.0,0.0
2394731755.0,2394731755.0,0.0,2394731755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394731755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789619849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789619849.0,0.0,0.0,789619849.0,0.0,0.0,0.0,0.0,0.0,789619849.0,0.0
555945513.4,0.0,0.0,0.0,0.0,555945513.4,0.0,0.0,555945513.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360155383.0,0.0,0.0,0.0,0.0,360155383.0,0.0,0.0,0.0,0.0,0.0,0.0,360155383.0,0.0,360155383.0,0.0,360155383.0,0.0,0.0,0.0
323777242.0,0.0,0.0,0.0,0.0,323777242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323777242.0,0.0,0.0,0.0,0.0,0.0
530794950.0,0.0,530794950.0,0.0,530794950.0,0.0,0.0,0.0,530794950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
