Name,Year,Score,Genre,Language,Budget,Revenue,Profit,Budget_2024,Revenue_2024,Profit_2024
Pirates of the Caribbean: On Stranger Tides,2011,65.0,"Adventure,Action,Fantasy", English,379000000.0,1045713802.0,666713802.0,481199369.60687125,1327696101.0860279,846496731.4791566
Coco,2017,82.0,"Family,Animation,Fantasy,Music,Comedy,Adventure", English,175000000.0,797660271.0,622660271.0,203896560.8681462,929372491.4174486,725475930.5493025
Toy Story,1995,80.0,"Animation,Adventure,Family,Comedy", English,30000000.0,365270951.0,335270951.0,56219488.18897638,684511530.5173557,628292042.3283793
Joseph,1995,82.0,"Drama,History", English,143260000.0,865531384.0,722271384.0,268466795.9317585,1621991047.332546,1353524251.4007874
Titanic,1997,79.0,"Drama,Romance", English,200000000.0,2222985568.0,2022985568.0,355881619.9376948,3955598525.1897826,3599716905.2520876
The Hunger Games: Mockingjay - Part 1,2014,68.0,"Science Fiction,Adventure,Thriller", English,125000000.0,766575131.0,641575131.0,150798252.06136796,924785518.6281133,773987266.5667454
The Autopsy of Jane Doe,2016,67.0,"Horror,Mystery", English,24570496.6,5972942.0,-18597554.6,29237526.307470202,7107469.2425220935,-22130057.064948108
Son of God,2014,69.0,Drama, English,22000000.0,70949793.0,48949793.0,26540492.362800762,85592838.14812703,59052345.78532628
The Lion King,1994,83.0,"Family,Animation,Drama", English,260000000.0,1647733638.0,1387733638.0,501043859.6491229,3175333929.45081,2674290069.8016872
Avengers: Age of Ultron,2015,73.0,"Action,Adventure,Science Fiction", English,365000000.0,1395316979.0,1030316979.0,439808853.37338674,1681295234.5928986,1241486381.2195117
Me Before You,2016,79.0,"Drama,Romance", English,20000000.0,208064908.0,188064908.0,23798889.199065026,247585684.58528292,223786795.3862179
Pirates of the Caribbean: Dead Man's Chest,2006,73.0,"Adventure,Fantasy,Action", English,200000000.0,1065659812.0,865659812.0,283328373.0158731,1509658303.6118057,1226329930.5959327
Ice Age,2002,73.0,"Animation,Comedy,Family,Adventure", English,65000000.0,386116343.0,321116343.0,103188854.91939968,612967743.0744025,509778888.15500283
The Little Mermaid,1990,73.0,"Animation,Family,Fantasy", English,40000000.0,211343479.0,171343479.0,87404743.68783475,461810565.3022572,374405821.61442244
Shrek Forever After,2010,63.0,"Comedy,Adventure,Fantasy,Animation,Family", English,165000000.0,756244673.0,591244673.0,216105839.78427562,990478122.0669692,774372282.2826935
The Princess and the Frog,2010,72.0,"Romance,Family,Animation", English,105000000.0,270997378.0,165997378.0,137521898.04453903,354934036.07288957,217412138.02835053
Zootopia,2016,77.0,"Animation,Adventure,Family,Comedy", English,150000000.0,1002462578.0,852462578.0,178491668.9929877,1192874791.0015543,1014383122.0085664
The Book of Daniel,2013,73.0,"Fantasy,Drama", English,92600000.0,428471214.2,335871214.2,113523512.92298579,525286797.2177226,411763284.2947368
Iron Man 2,2010,68.0,"Adventure,Action,Science Fiction", English,170000000.0,621156389.0,451156389.0,222654501.59592035,813548624.7406859,590894123.1447656
The Conjuring,2013,75.0,"Horror,Thriller", English,20000000.0,316849722.0,296849722.0,24519117.261983972,388443774.4072512,363924657.1452672
Fast & Furious Presents: Hobbs & Shaw,2019,69.0,"Action,Adventure,Comedy", English,200000000.0,760732926.0,560732926.0,223420442.2331483,849816433.7411845,626395991.5080361
The Maze Runner,2014,72.0,"Action,Mystery,Science Fiction,Thriller", English,34000000.0,348319861.0,314319861.0,41017124.56069209,420208209.5764692,379191085.0157771
The Hobbit: The Battle of the Five Armies,2014,73.0,"Action,Adventure,Fantasy", English,250000000.0,940323039.0,690323039.0,301596504.1227359,1134392565.2338684,832796061.1111324
Mary Magdalene,2018,63.0,"Drama,History", English,7855689.0,11710110.0,3854421.0,8934619.504653396,13318421.491435923,4383801.9867825275
The Pilgrim's Progress,2019,78.0,"Animation,Adventure", English,101000000.0,893800197.2,792800197.2,112827323.3277399,998466176.6324959,885638853.304756
Thor: Ragnarok,2017,76.0,"Action,Adventure,Fantasy,Science Fiction,Comedy", English,180000000.0,850482778.0,670482778.0,209722176.8929504,990917220.0673548,781195043.1744044
Noah,2014,56.0,"Drama,Adventure", English,130000000.0,352831065.0,222831065.0,156830182.14382267,425650462.9996072,268820280.85578454
Ant-Man,2015,71.0,"Science Fiction,Action,Adventure", English,130000000.0,518858449.0,388858449.0,156644249.1466857,625201478.1309147,468557228.984229
Scream,1997,74.0,"Crime,Horror,Mystery", English,24000000.0,138874789.0,114874789.0,42705794.39252337,247114924.38912776,204409129.99660438
Frozen II,2019,73.0,"Family,Animation,Adventure,Comedy,Fantasy", English,150000000.0,1437862795.0,1287862795.0,167565331.67486125,1606239707.6474533,1438674375.972592
Shrek the Third,2007,63.0,"Fantasy,Adventure,Animation,Comedy,Family", English,160000000.0,807330936.0,647330936.0,220385643.0438599,1112025921.7472582,891640278.7033982
Ratatouille,2007,78.0,"Animation,Comedy,Family,Fantasy", English,150000000.0,626549695.0,476549695.0,206611540.35361865,863015983.946933,656404443.5933144
Deadpool,2016,76.0,"Action,Adventure,Comedy", English,58000000.0,781947691.0,723947691.0,69016778.67728858,930474322.8786869,861457544.2013983
The Good Dinosaur,2016,68.0,"Adventure,Animation,Family", English,187500000.0,333771037.0,146271037.0,223114586.24123463,397168996.37100166,174054410.12976706
"Paul, Apostle of Christ",2018,75.0,"Drama,History", English,5000000.0,26078500.0,21078500.0,5686719.207349855,29660221.36977464,23973502.162424784
Real Steel,2011,70.0,"Action,Science Fiction,Drama", English,110000000.0,263880341.0,153880341.0,139662086.1655827,335037081.1104122,195374994.9448295
Cars,2006,69.0,"Animation,Adventure,Comedy,Family", English,70000000.0,461630558.0,391630558.0,99164930.55555557,653965174.6627481,554800244.1071925
Puss in Boots,2011,65.0,"Comedy,Fantasy,Animation,Romance,Adventure,Family", English,130000000.0,554987477.0,424987477.0,165055192.74114317,704642807.5781212,539587614.8369781
The Fate of the Furious,2017,69.0,"Action,Crime,Thriller", English,250000000.0,1236703796.0,986703796.0,291280801.24020886,1440912290.3827515,1149631489.1425424
Boyka: Undisputed IV,2016,71.0,"Action,Drama", English,119400000.0,343644155.0,224244155.0,142079368.51841822,408917458.4375664,266838089.9191482
Mulan,1998,79.0,"Animation,Family,Adventure", English,200000000.0,69973540.0,-130026460.0,350423312.8834356,122601798.504908,-227821514.37852764
Big Hero 6,2014,77.0,"Adventure,Family,Animation,Action,Comedy", English,165000000.0,647263005.0,482263005.0,199053692.7210057,780849038.2239077,581795345.502902
Dungeons & Dragons,2001,43.0,"Drama,Adventure,Fantasy", English,35000000.0,15185241.0,-19814759.0,56441699.60474309,24488023.169932246,-31953676.434810847
Killing Jesus,2015,65.0,"Drama,History,TV Movie", English,35580000.0,258973331.6,223393331.6,42872326.03568521,312051408.28844345,269179082.25275826
Inside Out,2015,79.0,"Animation,Family,Adventure,Drama,Comedy", English,175000000.0,850566343.0,675566343.0,210867258.46669227,1024894816.528287,814027558.0615948
Fury,2014,75.0,"War,Drama,Action", English,80000000.0,210315681.0,130315681.0,96510881.3192755,253721896.60717005,157211015.28789455
Undisputed III: Redemption,2010,76.0,"Action,Thriller", English,3000000.0,78701381.8,75701381.8,3929197.0869868295,103077746.70346609,99148549.61647926
The Amazing Spider-Man,2012,67.0,"Action,Adventure,Fantasy", English,220000000.0,757890267.0,537890267.0,273660897.0617699,942749683.3709288,669088786.3091588
Evil Dead,2013,65.0,Horror, English,17000000.0,99010045.0,82010045.0,20841249.67268638,121381945.1734655,100540695.50077912
Twilight,2008,63.0,"Fantasy,Drama,Romance", English,37000000.0,402278564.0,365278564.0,49079738.78673312,533614238.9357325,484534500.1489994
Spider-Man: Homecoming,2017,74.0,"Action,Adventure,Science Fiction,Drama", English,175000000.0,878271291.0,703271291.0,203896560.8681462,1023294261.3950106,819397700.5268644
World War Z,2013,68.0,"Action,Drama,Horror,Science Fiction,Thriller", English,190000000.0,531861650.0,341861650.0,232931613.98884776,652038908.1751139,419107294.1862662
Charlie and the Chocolate Factory,2005,70.0,"Adventure,Comedy,Family,Fantasy", English,150000000.0,475825484.0,325825484.0,219350998.46390173,695818633.3997953,476467634.93589354
How to Train Your Dragon: The Hidden World,2019,78.0,"Animation,Family,Adventure", English,129000000.0,521533238.0,392533238.0,144106185.24038067,582605933.3662289,438499748.1258483
Pacific Rim,2013,69.0,"Action,Science Fiction,Adventure", English,190000000.0,411002906.0,221002906.0,232931613.98884776,503871422.36150885,270939808.37266105
After,2019,72.0,"Romance,Drama", English,14000000.0,57926850.0,43926850.0,15639430.956320383,64710212.22086624,49070781.26454586
The Hangover,2009,73.0,Comedy, English,35000000.0,465487583.0,430487583.0,46592545.807949215,619664329.5416875,573071783.7337383
The Emperor's New Groove,2001,75.0,"Adventure,Animation,Comedy,Family,Fantasy", English,100000000.0,169630573.0,69630573.0,161261998.87069455,273549652.7156127,112287653.84491815
The Lion King,2019,71.0,"Adventure,Drama,Family", English,260000000.0,1647733638.0,1387733638.0,290446574.9030928,1840686890.4219716,1550240315.5188787
The Nun,2018,59.0,"Horror,Mystery,Thriller", English,22000000.0,363391647.0,341391647.0,25021564.51233936,413301251.75707966,388279687.2447403
Superfast!,2015,50.0,"Comedy,Action", English,20000000.0,3146707.8,-16853292.2,24099115.253336262,3791643.697038609,-20307471.55629765
The Parent Trap,1998,71.0,"Comedy,Family", English,15000000.0,92108518.0,77108518.0,26281748.466257673,161384860.11171782,135103111.64546013
Furious 7,2015,72.0,"Action,Thriller,Crime", English,190000000.0,1514553486.0,1324553486.0,228941594.90669447,1824969950.8228104,1596028355.9161158
The Conjuring 2,2016,73.0,"Horror,Thriller", English,40000000.0,321834351.0,281834351.0,47597778.39813005,382965002.99510014,335367224.5969701
Inception,2010,84.0,"Action,Science Fiction,Adventure", English,160000000.0,728537960.0,568537960.0,209557177.97263092,954189743.3971092,744632565.4244782
Frozen,2013,72.0,"Animation,Family,Adventure,Fantasy", English,150000000.0,1256887580.0,1106887580.0,183893379.4648798,1540888697.9575632,1356995318.4926834
God's Not Dead: A Light in Darkness,2018,69.0,Drama, English,56400000.0,5728940.0,-50671060.0,64146192.65890636,6515774.627150976,-57630418.03175539
The Prince of Egypt,1998,72.0,"Adventure,Animation,Drama,Family", English,60000000.0,218613188.0,158613188.0,105126993.86503069,383035787.8948467,277908794.029816
It Chapter Two,2019,69.0,"Horror,Fantasy", English,79000000.0,473122525.0,394122525.0,88251074.68209359,528526218.82981884,440275144.1477253
The Lord of the Rings: The Fellowship of the Ring,2001,84.0,"Adventure,Fantasy,Action", English,93000000.0,891216824.0,798216824.0,149973658.94974592,1437194064.6543198,1287220405.7045739
Finding Nemo,2003,78.0,"Animation,Family", English,94000000.0,936094852.0,842094852.0,145901793.47826087,1452956572.048587,1307054778.570326
Ben-Hur,2016,57.0,"Action,History,Adventure,Drama", English,95000000.0,91669648.0,-3330352.0,113044723.69555888,109081789.78346466,-3962933.9120942308
Grown Ups 2,2013,61.0,Comedy, English,80000000.0,247023808.0,167023808.0,98076469.04793589,302840285.74269074,204763816.69475484
Thor,2011,68.0,"Adventure,Fantasy,Action", English,150000000.0,449326618.0,299326618.0,190448299.31670365,570489934.9055078,380041635.5888041
Captain America: Civil War,2016,74.0,"Adventure,Action,Science Fiction", English,250000000.0,1151899586.0,901899586.0,297486114.98831284,1370696530.7831438,1073210415.794831
Dungeons & Dragons: Wrath of the Dragon God,2005,43.0,"Action,Adventure,Fantasy,TV Movie", English,102300000.0,633555866.2,531255866.2000001,149597380.95238096,926474078.8908808,776876697.9385
Doctor Strange,2016,74.0,"Action,Adventure,Fantasy", English,165000000.0,676343174.0,511343174.0,196340835.89228648,804810812.9284979,608469977.0362115
Transformers: Age of Extinction,2014,59.0,"Science Fiction,Action,Adventure", English,210000000.0,1104054072.0,894054072.0,253341063.46309817,1331915393.9106855,1078574330.4475873
Joseph: King of Dreams,2000,68.0,"Family,Animation", English,79000000.0,601957369.0,522957369.0,131022096.39953545,998350840.8801105,867328744.4805751
An Interview with God,2018,71.0,"Drama,Mystery", English,105000000.0,496783754.4,391783754.4,119421103.35434696,565013943.6091706,445592840.2548236
Up,2009,79.0,"Animation,Comedy,Family,Adventure", English,175000000.0,731463377.0,556463377.0,232962729.03974608,973735454.2774208,740772725.2376747
Pirates of the Caribbean: Dead Men Tell No Tales,2017,66.0,"Adventure,Action,Fantasy", English,230000000.0,794861794.0,564861794.0,267978337.14099216,926111920.9261994,658133583.7852073
The Amazing Spider-Man 2,2014,65.0,"Action,Adventure,Fantasy", English,200000000.0,708996336.0,508996336.0,241277203.29818875,855323265.4937147,614046062.1955259
Ice Age: Dawn of the Dinosaurs,2009,67.0,"Animation,Comedy,Family,Adventure", English,90000000.0,886686817.0,796686817.0,119809403.50615513,1180371318.2393482,1060561914.733193
Toy Story 2,1999,76.0,"Animation,Comedy,Family", English,90000000.0,511358276.0,421358276.0,154283013.20528212,876598840.5415367,722315827.3362546
Grown Ups,2010,64.0,Comedy, English,75000000.0,272222420.0,197222420.0,98229927.17467074,356538513.2255018,258308586.05083102
Hidden Figures,2017,81.0,"Drama,History", English,25000000.0,230677636.0,205677636.0,29128080.12402089,268767866.569109,239639786.44508812
The Twilight Saga: Eclipse,2010,62.0,"Adventure,Fantasy,Drama,Romance", English,68000000.0,706102828.0,638102828.0,89061800.63836813,924805724.9635874,835743924.3252193
Samson,2018,58.0,"Action,Drama,Adventure", English,8101468.0,4873825.0,-3227643.0,9214154.736666042,5543214.848152381,-3670939.888513662
Deadpool 2,2018,75.0,"Action,Comedy,Adventure", English,110000000.0,786362370.0,676362370.0,125107822.56169681,894364398.6832308,769256576.1215339
San Andreas,2015,62.0,"Action,Drama,Thriller", English,110000000.0,456258539.0,346258539.0,132545133.89334944,549771355.8339908,417226221.9406414
Risen,2016,61.0,"Action,History,Adventure,Drama", English,20000000.0,46244066.0,26244066.0,23798889.199065026,55027870.14241251,31228980.943347488
Super Mario Bros: This Ain't No Video Game,2014,34.0,Documentary, English,54640000.0,329856760.8,275216760.8,65916931.94106516,397934583.6741181,332017651.7330529
Ted 2,2015,63.0,"Comedy,Fantasy", English,68000000.0,217214143.0,149214143.0,81936991.86134328,261733433.34058318,179796441.4792399
The Exorcist,2001,77.0,Horror, English,12000000.0,428214478.0,416214478.0,19351439.864483345,690547226.6765106,671195786.8120272
The Hunger Games: Catching Fire,2013,74.0,"Adventure,Action,Science Fiction", English,130000000.0,864868047.0,734868047.0,159374262.20289582,1060290053.0268034,900915790.8239075
I Am Legend,2008,72.0,"Drama,Science Fiction,Thriller", English,150000000.0,585410052.0,435410052.0,198971914.0002694,776534390.142915,577562476.1426456
