Name,Year,Score,Genre,Genre Count,Language,Budget,Revenue,Profit,Thriller,Animation,Adventure,Music,Comedy,History,Drama,Romance,Documentary,Mystery,Family,Fantasy,Action,Science Fiction,War,Horror,TV Movie,Western,Crime
"Monsters, Inc.",2001,78.0,"Animation,Comedy,Family",3,English,115000000.0,560483719.0,445483719.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pirates of the Caribbean: At World's End,2007,72.0,"Adventure,Fantasy,Action",3,English,300000000.0,961000000.0,661000000.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Shrek 2,2004,72.0,"Animation,Family,Comedy,Fantasy,Adventure,Romance",6,English,70000000.0,935253978.0,865253978.0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Fifty Shades Freed,2018,67.0,"Drama,Romance",2,English,55000000.0,371985018.0,316985018.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Into the Spider-Verse,2018,84.0,"Action,Adventure,Animation,Science Fiction",4,English,90000000.0,375540831.0,285540831.0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 1,2010,78.0,"Adventure,Fantasy",2,English,250000000.0,954305868.0,704305868.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Shack,2017,75.0,"Drama,Fantasy",2,English,20000000.0,96860808.0,76860808.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,78.0,"Adventure,Fantasy,Action",3,English,140000000.0,655011224.0,515011224.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
The Remaining,2014,59.0,"Thriller,Horror",2,English,7270000.0,1169603.0,-6100397.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pirates of the Caribbean: On Stranger Tides,2011,65.0,"Adventure,Action,Fantasy",3,English,379000000.0,1045713802.0,666713802.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Coco,2017,82.0,"Family,Animation,Fantasy,Music,Comedy,Adventure",6,English,175000000.0,797660271.0,622660271.0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
