Revenue,Action,Romance,Science Fiction,Thriller,Family,Crime,Documentary,Drama,Mystery,TV Movie,Music,Adventure,War,Animation,Western,Comedy,Horror,Fantasy,History
622313635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622313635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171539887.0,171539887.0,0.0,0.0,171539887.0,0.0,171539887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326709727.0,326709727.0,0.0,0.0,326709727.0,0.0,326709727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17287898.0,0.0,0.0,0.0,0.0,0.0,17287898.0,0.0,17287898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2923706026.0,2923706026.0,0.0,2923706026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2923706026.0,0.0,0.0,0.0,0.0,0.0,2923706026.0,0.0
75958800.0,75958800.0,0.0,0.0,75958800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20844907.0,20844907.0,0.0,20844907.0,0.0,20844907.0,0.0,0.0,0.0,0.0,0.0,0.0,20844907.0,0.0,0.0,0.0,20844907.0,0.0,0.0,0.0
363563907.0,363563907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363563907.0,0.0,363563907.0,0.0
2048359754.0,2048359754.0,0.0,2048359754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048359754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213591522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213591522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173567581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173567581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169023926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169023926.0,0.0,0.0,0.0,0.0,169023926.0,0.0,0.0,0.0,0.0,0.0,169023926.0
745013115.0,0.0,0.0,0.0,0.0,745013115.0,0.0,0.0,0.0,0.0,0.0,0.0,745013115.0,0.0,0.0,0.0,0.0,0.0,745013115.0,0.0
491812794.0,0.0,0.0,0.0,0.0,491812794.0,0.0,0.0,0.0,0.0,0.0,0.0,491812794.0,0.0,491812794.0,0.0,491812794.0,0.0,491812794.0,0.0
205809600.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205809600.8,0.0,0.0,0.0,0.0,0.0,0.0,205809600.8,0.0,0.0,0.0
874954530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874954530.0,0.0,0.0,0.0,0.0,0.0,874954530.0,0.0
976475550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976475550.0,0.0,0.0,0.0,0.0,0.0,976475550.0,0.0
383541369.0,0.0,0.0,0.0,0.0,383541369.0,0.0,0.0,0.0,0.0,0.0,0.0,383541369.0,0.0,383541369.0,0.0,383541369.0,0.0,0.0,0.0
648082655.0,0.0,0.0,648082655.0,0.0,0.0,0.0,0.0,648082655.0,0.0,0.0,0.0,648082655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126037057.0,0.0,0.0,0.0,0.0,126037057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126037057.0,0.0,0.0,0.0,126037057.0,0.0
886742787.0,0.0,0.0,0.0,0.0,886742787.0,0.0,0.0,0.0,0.0,0.0,0.0,886742787.0,0.0,0.0,0.0,0.0,0.0,886742787.0,0.0
929411069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929411069.0,0.0,0.0,0.0,0.0,0.0,929411069.0,0.0
1515100211.0,1515100211.0,0.0,1515100211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515100211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268314513.0,268314513.0,0.0,0.0,0.0,0.0,0.0,0.0,268314513.0,0.0,0.0,0.0,268314513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389816136.0,0.0,0.0,0.0,0.0,0.0,389816136.0,0.0,389816136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389816136.0,0.0,0.0,0.0
45043870.0,0.0,0.0,0.0,45043870.0,0.0,0.0,0.0,45043870.0,0.0,0.0,0.0,0.0,45043870.0,0.0,0.0,0.0,0.0,0.0,0.0
789592708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789592708.0,0.0,0.0,0.0,0.0,0.0,789592708.0,0.0
2794731755.0,2794731755.0,0.0,2794731755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794731755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
939619849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939619849.0,0.0,0.0,939619849.0,0.0,0.0,0.0,0.0,0.0,939619849.0,0.0
683545513.4,0.0,0.0,0.0,0.0,683545513.4,0.0,0.0,683545513.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560155383.0,0.0,0.0,0.0,0.0,560155383.0,0.0,0.0,0.0,0.0,0.0,0.0,560155383.0,0.0,560155383.0,0.0,560155383.0,0.0,0.0,0.0
583777242.0,0.0,0.0,0.0,0.0,583777242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583777242.0,0.0,0.0,0.0,0.0,0.0
570794950.0,0.0,570794950.0,0.0,570794950.0,0.0,0.0,0.0,570794950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1341511219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341511219.0,0.0,0.0,0.0,0.0,0.0,1341511219.0,0.0
213120004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213120004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560483719.0,0.0,0.0,0.0,0.0,560483719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560483719.0,0.0,560483719.0,0.0,0.0,0.0
961000000.0,961000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961000000.0,0.0,0.0,0.0,0.0,0.0,961000000.0,0.0
935253978.0,0.0,935253978.0,0.0,0.0,935253978.0,0.0,0.0,0.0,0.0,0.0,0.0,935253978.0,0.0,935253978.0,0.0,935253978.0,0.0,935253978.0,0.0
371985018.0,0.0,371985018.0,0.0,0.0,0.0,0.0,0.0,371985018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375540831.0,375540831.0,0.0,375540831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375540831.0,0.0,375540831.0,0.0,0.0,0.0,0.0,0.0
954305868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954305868.0,0.0,0.0,0.0,0.0,0.0,954305868.0,0.0
96860808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96860808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96860808.0,0.0
655011224.0,655011224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655011224.0,0.0,0.0,0.0,0.0,0.0,655011224.0,0.0
1169603.0,0.0,0.0,0.0,1169603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169603.0,0.0,0.0
1045713802.0,1045713802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045713802.0,0.0,0.0,0.0,0.0,0.0,1045713802.0,0.0
797660271.0,0.0,0.0,0.0,0.0,797660271.0,0.0,0.0,0.0,0.0,0.0,797660271.0,797660271.0,0.0,797660271.0,0.0,797660271.0,0.0,797660271.0,0.0
365270951.0,0.0,0.0,0.0,0.0,365270951.0,0.0,0.0,0.0,0.0,0.0,0.0,365270951.0,0.0,365270951.0,0.0,365270951.0,0.0,0.0,0.0
865531384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865531384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865531384.0
2222985568.0,0.0,2222985568.0,0.0,0.0,0.0,0.0,0.0,2222985568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766575131.0,0.0,0.0,766575131.0,766575131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766575131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5972942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5972942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5972942.0,0.0,0.0
70949793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70949793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
