Name,Year,Score,Genre,Language,Budget,Revenue,Profit
Ice Age,2002-03-21,73.0,"Animation,Comedy,Family,Adventure", English,65000000.0,386116343.0,321116343.0
The Little Mermaid,1990-07-05,73.0,"Animation,Family,Fantasy", English,40000000.0,211343479.0,171343479.0
Shrek Forever After,2010-07-02,63.0,"Comedy,Adventure,Fantasy,Animation,Family", English,165000000.0,756244673.0,591244673.0
The Princess and the Frog,2010-01-10,72.0,"Romance,Family,Animation", English,105000000.0,270997378.0,165997378.0
Zootopia,2016-03-17,77.0,"Animation,Adventure,Family,Comedy", English,150000000.0,1002462578.0,852462578.0
The Book of Daniel,2013-10-01,73.0,"Fantasy,Drama", English,92600000.0,428471214.2,335871214.2
Iron Man 2,2010-04-29,68.0,"Adventure,Action,Science Fiction", English,170000000.0,621156389.0,451156389.0
The Conjuring,2013-07-18,75.0,"Horror,Thriller", English,20000000.0,316849722.0,296849722.0
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,69.0,"Action,Adventure,Comedy", English,200000000.0,760732926.0,560732926.0
The Maze Runner,2014-09-12,72.0,"Action,Mystery,Science Fiction,Thriller", English,34000000.0,348319861.0,314319861.0
The Hobbit: The Battle of the Five Armies,2014-12-26,73.0,"Action,Adventure,Fantasy", English,250000000.0,940323039.0,690323039.0
Mary Magdalene,2018-03-22,63.0,"Drama,History", English,7855689.0,11710110.0,3854421.0
The Pilgrim's Progress,2019-04-18,78.0,"Animation,Adventure", English,101000000.0,893800197.2,792800197.2
Thor: Ragnarok,2017-10-26,76.0,"Action,Adventure,Fantasy,Science Fiction,Comedy", English,180000000.0,850482778.0,670482778.0
Noah,2014-03-27,56.0,"Drama,Adventure", English,130000000.0,352831065.0,222831065.0
Ant-Man,2015-07-16,71.0,"Science Fiction,Action,Adventure", English,130000000.0,518858449.0,388858449.0
Scream,1997-02-13,74.0,"Crime,Horror,Mystery", English,24000000.0,138874789.0,114874789.0
Frozen II,2019-12-28,73.0,"Family,Animation,Adventure,Comedy,Fantasy", English,150000000.0,1437862795.0,1287862795.0
Shrek the Third,2007-06-07,63.0,"Fantasy,Adventure,Animation,Comedy,Family", English,160000000.0,807330936.0,647330936.0
Ratatouille,2007-09-06,78.0,"Animation,Comedy,Family,Fantasy", English,150000000.0,626549695.0,476549695.0
Deadpool,2016-02-11,76.0,"Action,Adventure,Comedy", English,58000000.0,781947691.0,723947691.0
The Good Dinosaur,2016-01-01,68.0,"Adventure,Animation,Family", English,187500000.0,333771037.0,146271037.0
"Paul, Apostle of Christ",2018-03-29,75.0,"Drama,History", English,5000000.0,26078500.0,21078500.0
Real Steel,2011-09-28,70.0,"Action,Science Fiction,Drama", English,110000000.0,263880341.0,153880341.0
Cars,2006-06-08,69.0,"Animation,Adventure,Comedy,Family", English,70000000.0,461630558.0,391630558.0
Puss in Boots,2011-10-28,65.0,"Comedy,Fantasy,Animation,Romance,Adventure,Family", English,130000000.0,554987477.0,424987477.0
The Fate of the Furious,2017-04-12,69.0,"Action,Crime,Thriller", English,250000000.0,1236703796.0,986703796.0
Boyka: Undisputed IV,2016-09-22,71.0,"Action,Drama", English,119400000.0,343644155.0,224244155.0
Mulan,1998-09-03,79.0,"Animation,Family,Adventure", English,200000000.0,69973540.0,-130026460.0
Big Hero 6,2014-12-25,77.0,"Adventure,Family,Animation,Action,Comedy", English,165000000.0,647263005.0,482263005.0
Dungeons & Dragons,2001-01-18,43.0,"Drama,Adventure,Fantasy", English,35000000.0,15185241.0,-19814759.0
