Name,Year,Score,Genre,Language,Budget,Revenue,Profit
My Name Is Khan,2010-02-10,81.0,"Drama,Romance", Hindi,12000000.0,42345360.0,30345360.0
Bayonetta: Bloody Fate,2013-11-23,65.0,"Animation,Action,Fantasy", Japanese,141280000.0,608857282.0,467577282.0
I Am Dragon,2015-12-03,72.0,"Fantasy,Romance", Russian,18000000.0,10495305.0,-7504695.0
Love Lesson,2013-12-05,60.0,"Romance,Drama,Comedy", Korean,109600000.0,520431822.2,410831822.2
Sword Art Online: Extra Edition,2013-12-31,67.0,"Animation,Fantasy,Adventure", Japanese,89000000.0,407893232.8,318893232.8
Purpose of Reunion 3,2018-02-20,44.0,"Drama,Romance", Korean,127300000.0,428289420.4,300989420.4
Curiosa,2019-04-03,61.0,"Drama,History", French,103400000.0,784077594.2,680677594.2
Senior Couple and Exchange Sex,2019-12-23,30.0,Romance, Korean,15541000.0,38139010.0,22598010.0
The Smile of the Fox,1992-05-22,55.0,Thriller, Italian,60600000.0,487584871.8,426984871.8
The Anthem of the Heart,2015-09-19,76.0,"Animation,Drama,Music,Romance", Japanese,13453000.0,8852989.0,-4600011.0
New Police Story,2005-09-09,71.0,"Action,Thriller,Crime,Drama", Cantonese,38105400.0,8712057.0,-29393343.0
Lev Yashin. The Dream Goalkeeper,2019-11-28,81.0,Drama, Russian,174400000.0,895189907.0,720789907.0
Elite Squad: The Enemy Within,2011-11-22,78.0,"Drama,Action,Crime", Portuguese,6431937.4,63027681.0,56595743.6
EXIT,2019-08-29,75.0,"Action,Comedy", Korean,10892000.0,69501772.0,58609772.0
Dragon Ball Z: The Real 4-D at Super Tenkaichi Budokai,2017-06-30,67.0,"Action,Animation,Adventure", Japanese,93000000.0,427286802.0,334286802.0
Young Sister-in-law 3,2019-05-24,53.0,Romance, Korean,121400000.0,492196010.4,370796010.4
Tidal Wave,2009-06-06,69.0,"Action,Drama,Thriller", Korean,16000000.0,71641901.0,55641901.0
Wu Kong,2017-07-13,76.0,"Fantasy,Action,Adventure", Chinese,95000000.0,968154371.2,873154371.2
The Host,2006-08-08,70.0,"Horror,Drama,Science Fiction", Korean,50000000.0,64477051.0,14477051.0
A Fistful of Dollars,2010-04-29,79.0,Western, Italian,200000.0,14500000.0,14300000.0
